Imagem,n_clusters,Resolucao_original,Tamanho_KB_original,Cores_unicas_original,Tamanho_KB_gerada,Cores_unicas_gerada
bioshock.png,2,1080 x 1920,2454.6865234375,365051,145.7294921875,2
bioshock.png,5,1080 x 1920,2454.6865234375,365051,412.9228515625,5
bioshock.png,12,1080 x 1920,2454.6865234375,365051,809.115234375,12
bioshock.png,25,1080 x 1920,2454.6865234375,365051,1162.123046875,25
bioshock.png,38,1080 x 1920,2454.6865234375,365051,1325.43359375,38
bioshock.png,47,1080 x 1920,2454.6865234375,365051,1410.73828125,47
bioshock.png,100,1080 x 1920,2454.6865234375,365051,1707.8486328125,100
borderlands.png,2,1080 x 1920,1350.3681640625,51793,37.578125,2
borderlands.png,5,1080 x 1920,1350.3681640625,51793,307.4970703125,5
borderlands.png,12,1080 x 1920,1350.3681640625,51793,811.0693359375,12
borderlands.png,25,1080 x 1920,1350.3681640625,51793,1279.6806640625,25
borderlands.png,38,1080 x 1920,1350.3681640625,51793,1483.8583984375,38
borderlands.png,47,1080 x 1920,1350.3681640625,51793,1626.6513671875,47
borderlands.png,100,1080 x 1920,1350.3681640625,51793,1891.068359375,100
gow.png,2,1152 x 2048,2996.287109375,104395,191.2568359375,2
gow.png,5,1152 x 2048,2996.287109375,104395,740.69921875,5
gow.png,12,1152 x 2048,2996.287109375,104395,1076.6806640625,12
gow.png,25,1152 x 2048,2996.287109375,104395,1579.7939453125,25
gow.png,38,1152 x 2048,2996.287109375,104395,1769.7158203125,38
gow.png,47,1152 x 2048,2996.287109375,104395,1906.458984375,47
gow.png,100,1152 x 2048,2996.287109375,104395,2328.1083984375,100
hsr.png,2,1080 x 1920,1966.15234375,137215,82.7998046875,2
hsr.png,5,1080 x 1920,1966.15234375,137215,275.8759765625,5
hsr.png,12,1080 x 1920,1966.15234375,137215,456.0068359375,12
hsr.png,25,1080 x 1920,1966.15234375,137215,624.9970703125,25
hsr.png,38,1080 x 1920,1966.15234375,137215,770.201171875,38
hsr.png,47,1080 x 1920,1966.15234375,137215,847.1845703125,47
hsr.png,100,1080 x 1920,1966.15234375,137215,1081.32421875,100
sable.png,2,2160 x 3840,3342.1416015625,191610,263.4248046875,2
sable.png,5,2160 x 3840,3342.1416015625,191610,587.2265625,5
sable.png,12,2160 x 3840,3342.1416015625,191610,1103.0859375,12
sable.png,25,2160 x 3840,3342.1416015625,191610,1547.2470703125,25
sable.png,38,2160 x 3840,3342.1416015625,191610,2020.333984375,38
sable.png,47,2160 x 3840,3342.1416015625,191610,2271.9111328125,47
sable.png,100,2160 x 3840,3342.1416015625,191610,2854.8076171875,100
sotc.png,2,2160 x 3840,5528.3623046875,28563,297.2158203125,2
sotc.png,5,2160 x 3840,5528.3623046875,28563,1043.1201171875,5
sotc.png,12,2160 x 3840,5528.3623046875,28563,2242.943359375,12
sotc.png,25,2160 x 3840,5528.3623046875,28563,3654.0478515625,25
sotc.png,38,2160 x 3840,5528.3623046875,28563,4452.5234375,38
sotc.png,47,2160 x 3840,5528.3623046875,28563,4496.404296875,47
sotc.png,100,2160 x 3840,5528.3623046875,28563,5578.3369140625,100
